Dev Name, Dev ID,       Date / Time [GMT],     Date / Time [Local],     Latitude,    Longitude, Altitude [m], Fix Status,  DOP, Temp [C], Main [V], Back [V]
5177Nelsn+,  80607,    05-04-2018  14:00:36,    05-04-2018  08:00:36,   43.1064542,  -89.9957742,       253.83, 4 or more SV KF     ,  1.6,     16.0,     0.00,     0.00
5177Nelsn+,  80607,    05-04-2018  16:01:08,    05-04-2018  10:01:08,   43.1047803,  -89.9966094,         0.33, 2-D least-squares   ,  2.2,     22.0,     0.00,     0.00
5177Nelsn+,  80607,    05-04-2018  18:00:35,    05-04-2018  12:00:35,   43.1051633,  -89.9950003,       238.77, 4 or more SV KF     ,  1.4,     28.5,     0.00,     0.00
5177Nelsn+,  80607,    05-04-2018  20:01:03,    05-04-2018  14:01:03,   43.1052317,  -89.9952092,       211.63, 4 or more SV KF     ,  2.6,     34.0,     0.00,     0.00
5177Nelsn+,  80607,    05-04-2018  22:01:08,    05-04-2018  16:01:08,   43.1038503,  -89.9943003,       235.11, 4 or more SV KF     ,  4.2,     25.5,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  00:01:10,    05-04-2018  18:01:10,             ,             ,             , 0                   ,  0.0,     22.5,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  01:59:33,    05-04-2018  19:59:33,   43.1037067,  -89.9964622,       265.34, 3-D least-squares   ,  1.4,     17.5,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  04:01:09,    05-04-2018  22:01:09,   43.1038186,  -89.9969167,         0.33, 2-D least-squares   ,  2.4,     16.5,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  06:01:09,    05-05-2018  00:01:09,   43.1019342,  -89.9972239,         1.60, 3-D least-squares   ,  3.4,     14.5,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  08:00:57,    05-05-2018  02:00:57,   43.1030947,  -89.9968431,       263.35, 4 or more SV KF     ,  2.0,     12.0,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  10:00:06,    05-05-2018  04:00:06,   43.1031803,  -89.9970642,       272.23, 4 or more SV KF     ,  5.4,     10.0,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  12:00:37,    05-05-2018  06:00:37,   43.1033675,  -89.9977889,       238.29, 4 or more SV KF     ,  4.4,     13.5,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  14:00:48,    05-05-2018  08:00:48,   43.1045592,  -89.9990294,       262.20, 3-D least-squares   ,  1.4,     21.0,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  16:01:09,    05-05-2018  10:01:09,   43.1078878,  -89.9910931,         0.27, 2-D least-squares   , 12.4,     27.5,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  18:00:15,    05-05-2018  12:00:15,   43.1054450,  -89.9964375,       265.32, 4 or more SV KF     ,  1.8,     30.5,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  20:00:04,    05-05-2018  14:00:04,   43.1050989,  -89.9960814,       236.17, 3-D least-squares   ,  5.4,     32.0,     0.00,     0.00
5177Nelsn+,  80607,    05-05-2018  22:01:01,    05-05-2018  16:01:01,   43.1045092,  -89.9942386,       244.72, 4 or more SV KF     ,  2.0,     28.5,     0.00,     0.00
5177Nelsn+,  80607,    05-06-2018  00:00:57,    05-05-2018  18:00:57,   43.1038106,  -89.9947056,       229.59, 3-D least-squares   ,  2.2,     24.5,     0.00,     0.00
5177Nelsn+,  80607,    05-06-2018  02:01:06,    05-05-2018  20:01:06,   43.1040458,  -89.9954794,       249.95, 4 or more SV KF     ,  3.8,     21.0,     0.00,     0.00
